origin_code,origin_name,origin_coords,origin_location,origin_lat,origin_lon,dest_code,dest_name,dest_coords,dest_location,route,route_locations,distance_mi,co2e_kg,co2e_kg_round,co2e_lb
WAS,"Washington, DC","(38.8979438, -77.0049635)","Washington, DC",38.8979438,-77.0049635,WAS,"Washington, DC","(38.8979438, -77.0049635)","Washington, DC",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",0.0,0.0,0,0
NYP,"New York, NY","(40.7509973, -73.9962784)","New York, New York",40.7509973,-73.9962784,NYP,"New York, NY","(40.7509973, -73.9962784)","New York, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",0.0,0.0,0,0
NYP,"New York, NY","(40.7509973, -73.9962784)","New York, New York",40.7509973,-73.9962784,YNY,"Yonkers, NY","(40.9355917, -73.9023392)","Yonkers, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",17.585456805469235,3.2040702299564945,3,7
YNY,"Yonkers, NY","(40.9355917, -73.9023392)","Yonkers, New York",40.9355917,-73.9023392,CRT,"Croton-Harmon, NY","(41.1894791, -73.8823805)","Croton-on-Hudson, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",24.178371659415784,4.405299316345556,4,9
CRT,"Croton-Harmon, NY","(41.1894791, -73.8823805)","Croton-on-Hudson, New York",41.1894791,-73.8823805,POU,"Poughkeepsie, NY","(41.7056873, -73.9369972)","Poughkeepsie, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",39.29397141081417,7.1593615910503425,7,15
POU,"Poughkeepsie, NY","(41.7056873, -73.9369972)","Poughkeepsie, New York",41.7056873,-73.9369972,RHI,"Rhinecliff, NY","(41.92126409999999, -73.95142190000001)","Rhinecliff, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",19.102548166563082,3.4804842759477927,3,7
RHI,"Rhinecliff, NY","(41.92126409999999, -73.95142190000001)","Rhinecliff, New York",41.92126409999999,-73.95142190000001,HUD,"Hudson, NY","(42.25404229999999, -73.79774689999999)","Hudson, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",26.77439403356122,4.8782945929148545,4,10
HUD,"Hudson, NY","(42.25404229999999, -73.79774689999999)","Hudson, New York",42.25404229999999,-73.79774689999999,ALB,"Albany-Rensselaer, NY","(42.6413525, -73.7411492)","Rensselaer, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",38.261653200745805,6.971273213175886,6,15
ALB,"Albany-Rensselaer, NY","(42.6413525, -73.7411492)","Rensselaer, New York",42.6413525,-73.7411492,SDY,"Schenectady, NY","(42.8144886, -73.94258359999999)","Schenectady, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",20.497203231821008,3.734590428837788,3,8
SDY,"Schenectady, NY","(42.8144886, -73.94258359999999)","Schenectady, New York",42.8144886,-73.94258359999999,SAR,"Saratoga Springs, NY","(43.0828733, -73.81015479999999)","Saratoga Springs, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",21.72405220633934,3.958122311995028,3,8
SAR,"Saratoga Springs, NY","(43.0828733, -73.81015479999999)","Saratoga Springs, New York",43.0828733,-73.81015479999999,FED,"Fort Edward-Glens Falls, NY","(43.2693154, -73.5809676)","Fort Edward, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",20.1988812927284,3.680236171535115,3,8
FED,"Fort Edward-Glens Falls, NY","(43.2693154, -73.5809676)","Fort Edward, New York",43.2693154,-73.5809676,WHL,"Whitehall, NY","(43.5544071, -73.4029881)","Whitehall, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",23.107520198881293,4.210190180236172,4,9
WHL,"Whitehall, NY","(43.5544071, -73.4029881)","Whitehall, New York",43.5544071,-73.4029881,FTC,"Ticonderoga, NY","(43.8523594, -73.3881202)","Ticonderoga, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",25.847731510254818,4.709456681168428,4,10
FTC,"Ticonderoga, NY","(43.8523594, -73.3881202)","Ticonderoga, New York",43.8523594,-73.3881202,POH,"Port Henry, NY","(44.0423392, -73.45880300000002)","Port Henry, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",17.110006215040396,3.11744313238036,3,6
POH,"Port Henry, NY","(44.0423392, -73.45880300000002)","Port Henry, New York",44.0423392,-73.45880300000002,WSP,"Westport, NY","(44.1871804, -73.4518436)","Westport, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",11.84897451833437,2.1588831572405223,2,4
WSP,"Westport, NY","(44.1871804, -73.4518436)","Westport, New York",44.1871804,-73.4518436,PRK,"Port Kent, NY","(44.5237539, -73.4042876)","Port Kent, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",28.71597265382225,5.232050217526414,5,11
PRK,"Port Kent, NY","(44.5237539, -73.4042876)","Port Kent, New York",44.5237539,-73.4042876,PLB,"Plattsburgh, NY","(44.6966012, -73.4436437)","Plattsburgh, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",15.608452454940958,2.8438600372902423,2,6
PLB,"Plattsburgh, NY","(44.6966012, -73.4436437)","Plattsburgh, New York",44.6966012,-73.4436437,RSP,"Rouses Point, NY","(44.99496269999999, -73.37154679999999)","Rouses Point, New York",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",26.06650093225606,4.749316469857054,4,10
RSP,"Rouses Point, NY","(44.99496269999999, -73.37154679999999)","Rouses Point, New York",44.99496269999999,-73.37154679999999,SLQ,"St-Lambert, QC","(45.4989308, -73.5073671)","St-Lambert, Quebec",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",41.727781230577996,7.602801740211312,7,16
SLQ,"St-Lambert, QC","(45.4989308, -73.5073671)","St-Lambert, Quebec",45.4989308,-73.5073671,MTR,"Montreal, QC","(45.4999304, -73.5665831)","Montreal, Quebec",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",9.078309509011808,1.6540679925419515,1,3
MTR,"Montreal, QC","(45.4999304, -73.5665831)","Montreal, Quebec",45.4999304,-73.5665831,MTR,"Montreal, QC","(45.4999304, -73.5665831)","Montreal, Quebec",Adirondack - Montreal - NYC,"Adirondack - Montreal - NYC: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC",0.0,0.0,0,0
EUG,"Eugene, OR","(44.0551578, -123.0922546)","Eugene, Oregon",44.0551578,-123.0922546,EUG,"Eugene, OR","(44.0551578, -123.0922546)","Eugene, Oregon","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",0.0,0.0,0,0
EUG,"Eugene, OR","(44.0551578, -123.0922546)","Eugene, Oregon",44.0551578,-123.0922546,ALY,"Albany, OR","(44.6301042, -123.1029538)","Albany, Oregon","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",44.881292728402734,8.177371535114979,8,17
ALY,"Albany, OR","(44.6301042, -123.1029538)","Albany, Oregon",44.6301042,-123.1029538,SLM,"Salem, OR","(44.93234440000001, -123.0281966)","Salem, Oregon","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",25.089496581727783,4.571306277190802,4,10
SLM,"Salem, OR","(44.93234440000001, -123.0281966)","Salem, Oregon",44.93234440000001,-123.0281966,ORC,"Oregon City, OR","(45.3661689, -122.5959431)","Oregon City, Oregon","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",44.824114356743316,8.166953635798631,8,17
ORC,"Oregon City, OR","(45.3661689, -122.5959431)","Oregon City, Oregon",45.3661689,-122.5959431,PDX,"Portland, OR","(45.5290803, -122.6767757)","Portland, Oregon","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",19.188315724052206,3.4961111249223125,3,7
PDX,"Portland, OR","(45.5290803, -122.6767757)","Portland, Oregon",45.5290803,-122.6767757,VAN,"Vancouver, WA","(45.6288834, -122.6855177)","Vancouver, Washington","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",9.07644499689248,1.6537282784338099,1,3
VAN,"Vancouver, WA","(45.6288834, -122.6855177)","Vancouver, Washington",45.6288834,-122.6855177,KEL,"Kelso-Longview, WA","(46.143261, -122.9174564)","Kelso, Washington","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",41.361093847110006,7.535991298943443,7,16
KEL,"Kelso-Longview, WA","(46.143261, -122.9174564)","Kelso, Washington",46.143261,-122.9174564,CTL,"Centralia, WA","(46.7168749, -122.9560185)","Centralia, Washington","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",44.23119950279677,8.058924549409571,8,17
CTL,"Centralia, WA","(46.7168749, -122.9560185)","Centralia, Washington",46.7168749,-122.9560185,OLW,"Olympia-Lacey, WA","(46.9913706, -122.7939031)","Lacey, Washington","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",27.91982597886886,5.0869922933499065,5,11
OLW,"Olympia-Lacey, WA","(46.9913706, -122.7939031)","Lacey, Washington",46.9913706,-122.7939031,TAC,"Tacoma, WA","(47.242155, -122.4201362)","Tacoma, Washington","Amtrak Cascades - Vancouver, BC - Eugene, OR","Amtrak Cascades - Vancouver, BC - Eugene, OR: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC",29.595400870105657,5.392282038533251,5,11
